lat,lon
49.71921964,14.49896031
49.77523919,14.65355717
49.76691814,14.62328508
49.80510406,14.686832
49.76138197,14.69031611
49.74868428,14.43108836
49.76803247,14.51174292
49.74397681,14.54845661
49.85249936,14.80704169
49.83443325,14.75687036
49.76510958,14.94674633
49.71175356,14.82615753
49.68094847,14.82593625
49.61185747,15.00128867
49.68033353,15.05096
49.66791422,15.07029767
49.63172867,15.14725392
49.66969911,14.69754642
49.67593364,14.75410258
49.62642222,15.13111389
49.62221389,15.12628889
49.58953889,14.92523889
49.65743056,14.70025278
49.97027778,14.11666667
50.04818153,15.27643586
50.03958192,15.33592617
49.90121836,15.17628206
49.84368192,15.07295814
49.83012486,15.14424972
49.86493439,15.01501561
49.86404908,15.03729572
49.84254167,14.99937075
49.82060194,14.96849519
49.78945464,15.04002347
49.77174369,15.05423119
49.77992097,15.25235378
49.77268539,15.31692839
49.83577136,15.41674436
49.84616272,15.41303944
49.98177931,15.33509508
50.48284803,14.58176414
50.48516989,14.50909819
50.45052194,14.49573261
50.43677706,14.52463897
50.49593306,14.53188358
50.51092264,14.56779825
50.28338056,14.68675556
50.49921944,14.73007222
50.4895925,14.77581778
49.91059278,18.56949206
50.32338686,15.09588125
50.33012267,15.13730781
50.34066214,15.17976297
50.31675939,15.18977633
49.96645858,14.71536778
49.92264575,14.79178983
49.91223097,14.76479083
50.06949956,17.4674815
49.8453945,14.20602114
49.63809294,13.92905769
49.72922603,14.21682681
49.709628,14.24559383
49.66338586,14.08039831
49.67839192,14.08561083
49.68765783,14.10376583
49.68073175,14.12622242
49.68843131,14.17043169
49.73452008,14.37604067
49.58103603,14.56838747
50.06669781,13.87467958
50.04310164,13.79308092
50.04067836,13.8614615
50.03235875,13.78884075
50.0312015,13.80455031
50.0111915,13.66071139
49.98202761,13.71382547
49.97963967,13.73848867
50.00106233,13.78497125
49.96238733,13.78636581
50.01440425,13.74775931
49.98880647,13.67369622
49.98381575,13.83270708
50.0111945,13.90937947
50.00614322,13.93367475
50.02547142,13.95429197
50.04125711,13.42601781
50.03434197,13.41279783
50.05494919,13.51789658
50.00234239,13.66832933
49.52604386,18.77112747
49.53517419,18.62159775
49.56469756,18.65306158
49.57348372,18.64327969
49.59471389,18.81628822
49.62153117,18.62612392
49.67561478,18.79281917
49.61521636,18.80767331
49.64269078,18.67828803
49.52520042,18.70948964
49.55206672,18.63369464
49.54488128,18.78578783
49.51883669,18.64800222
49.52117539,18.83183836
49.82206031,17.58019086
49.88332639,17.74558278
49.87176842,17.69639867
49.8715535,17.75988203
49.99665717,17.71470139
49.95410364,17.71258536
49.93756269,17.75177886
49.76361681,17.68379558
49.79754833,17.70219086
49.77764119,17.54242978
49.737554,17.85766594
49.51409953,18.02025044
49.60359614,17.86488233
49.52008311,18.09513981
49.84533189,17.69484089
49.65449078,18.16844064
49.73680556,17.69977778
49.72391097,17.70121289
49.84224561,17.59653253
49.82747353,17.73185194
49.70824783,17.78220517
49.85063344,17.40838872
49.87310289,17.59855989
49.98280481,17.39231236
49.93454817,17.58619456
49.94709069,17.50999278
50.08786444,17.45271128
49.96966042,17.56777478
49.89420539,17.47352653
50.05919917,17.6061605
50.01553075,17.52326022
49.98573386,17.64072156
49.97432283,17.55168864
49.90469886,17.43475733
50.04446839,17.50594178
49.83330167,17.81369956
49.54306044,18.67548325
49.57007769,18.134765
50.18724061,17.637414
50.21168858,17.65081375
49.81957472,18.06390847
50.208026,17.47175461
50.26509578,17.47299947
50.19197797,17.53138181
49.75179683,18.39165497
49.74411283,18.35453811
49.94958033,17.64426342
49.91850328,17.66200639
49.89212919,17.59184367
50.23415328,17.58081511
50.15595681,17.55605464
50.21820931,17.55176644
49.99614172,17.26498808
49.872511,17.29020617
49.46102419,18.48720906
49.52477603,18.13967875
49.64639531,17.82168364
49.70573578,17.82416719
49.75413872,17.90182403
49.97684858,17.18657192
50.0230565,17.24176769
50.04821444,17.31512169
50.05265647,17.30235019
50.05016533,17.25040861
49.61322489,18.66612069
50.07700333,17.57145636
49.86026536,18.57802244
50.09938211,17.58412619
50.13167219,17.58175986
50.16469067,17.40548189
50.22890967,17.51943158
50.09301419,17.60146928
50.17053578,17.53659494
50.17736961,17.43219253
50.19843242,17.45828094
50.06222319,17.71334792
50.07853547,17.62645936
50.09965975,17.48113175
50.15572775,17.4308755
50.03381694,17.68863272
49.99069736,17.25437953
50.04534494,17.23893006
49.98841367,17.19510736
49.86919956,17.32238597
50.0063145,17.25934519
49.88067933,17.29024581
49.90998239,17.25968272
49.85377969,17.20968872
50.11158344,17.55404697
50.04111769,17.70406144
50.15815506,17.39983661
50.19311689,17.44475325
50.22395347,17.45466364
49.83952528,17.231988
49.89790092,17.26510164
50.04717206,17.26625794
50.05277622,17.70076703
50.12674022,17.60383308
50.19555089,17.55612567
49.86554331,18.02308156
49.87855878,17.99723047
49.82613581,17.9983025
49.81845747,18.45246033
49.839808,18.37605522
49.91255594,18.39872864
49.79368075,18.56897292
49.67870394,18.714231
49.67754353,18.56109322
49.87335142,17.80235347
49.75556519,18.5595045
49.87202478,18.26806839
50.1814455,17.60326428
49.73176244,18.263691
49.80136211,18.09362269
49.88378111,18.15922819
49.56684056,18.56293267
49.58299169,18.60523736
49.54450244,18.41956058
49.49391689,18.47225761
49.8688245,18.22660275
