@lat,@lon,ref,name,@count
49.0973555,17.2768777,UH005,,
49.3206580,17.7296821,ZL 005,,
49.0907028,17.3013023,UH007,,
49.2218577,15.3402495,JI 002,JI 002,
49.2527507,15.3537753,JI 001,JI 001,
49.3282009,15.5171852,JI 013,JI 013,
49.2478743,15.7056743,JI 008,JI 008,
49.2654883,15.6297307,JI 003,JI 003,
49.1778472,15.5379556,JI 006,JI 006,
49.1176921,15.5888596,JI 007,JI 007,
49.4407536,15.7029220,JI 015,,
49.3261633,15.1940021,PE 003,PE 003,
49.2887880,15.0071281,PE 004,PE 004,
49.0874410,16.0581113,TR018,,
49.1463995,15.7367209,TR 015,TR 015,
49.4751419,16.3857700,ZR002,ZR 002,
49.1173029,16.1460051,TR010,,
49.6598863,16.0334648,ZR016,,
49.4092080,16.0630538,ZR 013,,
49.6570691,16.0767688,ZR020,,
49.6255855,16.1464034,ZR 023,ZR 023,
49.6763972,16.0504878,ZR 015,ZR 015,
49.6091218,16.1029230,ZR022,,
48.8837308,17.0008805,BO001,,
49.6170020,16.0721813,ZR021,,
48.9230000,17.0578000,HO 004,HO 004,
48.9681513,17.2203719,HO 012,HO 012,
50.4386163,15.2642975,JC015,,
50.1048473,16.3319540,RK003,,
50.4619549,15.5492027,JC010,,
50.4459069,15.5979496,,JC 011,
50.0712339,16.3129427,RK016,,
50.1426282,16.5796432,RK014,,
