X;Y;ref;emergency;emergency_telephone_code;operator;name
50,03958192;15,33592617;"	KO003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,90121836;15,17628206;"	KH001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,85005494;15,20525731;"	KH002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,84368192;15,07295814;"	KH003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,83012486;15,14424972;"	KH004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,86493439;15,01501561;"	KH005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,86404908;15,03729572;"	KH006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,84254167;14,99937075;"	KH007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,82060194;14,96849519;"	KH008";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,78945464;15,04002347;"	KH009";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,77174369;15,05423119;"	KH010";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,77992097;15,25235378;"	KH011";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,77268539;15,31692839;"	KH012";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,83577136;15,41674436;"	KH013";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,84616272;15,41303944;"	KH014";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
49,98177931;15,33509508;"	KH015";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,35104506;14,32624742;"	ME001";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,27669611;14,38617333;"	ME002";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,48284803;14,58176414;"	ME003";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,45776364;14,56043997;"	ME004";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,48516989;14,50909819;"	ME005";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,45052194;14,49573261;"	ME006";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,43677706;14,52463897;"	ME007";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
50,49593306;14,53188358;"	ME008";access_point;112;Lesy ‰R;Bod z‡chrany - Rescue Point
