@lat,@lon,ref
49.4525681,18.3216299,VS 016
49.4037402,18.3178990,VS 019
49.3903633,18.3776285,VS 021
49.3703068,18.3966869,VS 024
48.7381758,17.0091467,BV024
48.8450116,17.3506771,HO 020
48.8433445,17.4065680,HO021
48.8458376,17.5554027,HO 023
48.8770875,17.6372081,HO026
49.0789786,16.9363705,HO 029
49.0253319,17.0353328,HO030
49.0715917,17.0895363,HO 031
49.2610098,16.8446320,VY 009
49.1005900,17.0528049,VY015
49.2125247,17.0641421,VY016
49.2178135,17.1105409,VY017
49.1060251,17.0721383,VY018
49.0432632,16.3612865,ZN001
49.0287027,16.3558181,ZN002
49.0847699,16.2421339,ZN 006
48.9612054,16.1335667,ZN021
48.8595093,16.2600580,ZN 026
49.9575844,12.5764623,CH001
49.9581271,12.6066814,CH002
50.0297479,12.6260041,CH 004
50.0118205,12.6627190,CH 009
49.9203106,12.5821674,CH 014
50.0096093,12.7138974,CH 018
50.2680897,12.1274260,
49.9421311,12.4795690,CH 055
49.9470025,12.5192163,CH 057
49.9343795,12.5335294,CH 059
50.0618321,12.7692357,SO011
50.2988561,12.4081404,
50.2844087,12.4464154,SO 022
50.3902326,12.6157879,SO077
50.0733757,13.2105402,KV016
50.4469236,12.7966019,KV040
50.4367056,12.7771157,KV 041
50.4257297,12.7537201,KV 042
50.4381538,12.8102411,KV045
50.3476521,12.9866230,KV053
50.3464084,12.9169384,KV061
49.9025928,15.7819045,CR004
49.8678554,15.8126691,CR005
49.8961076,15.5755773,CR008
49.8796066,15.8969843,CR021
49.7290246,16.0743059,CR027
50.0690014,15.5786778,PA003
50.0653418,15.6067358,PA004
50.0214482,15.6574242,PA006
50.0237260,16.0811964,PA010
49.6933523,16.6984328,SY017
49.8284432,16.4662113,SY027
49.7077796,16.1007133,SY 037
49.7683368,16.1595059,SY038
49.6921871,16.3265386,SY040
50.1774553,16.7995349,UO003
50.1782182,16.8176994,UO004
50.1978720,16.8504932,UO 005
50.0427582,16.6993441,UO008
50.0088026,16.7262930,UO 009
49.5541227,12.7093531,DO 030
49.5666857,12.5924433,DO 031
49.5432597,12.6186017,DO 032
49.6074154,12.8924064,DO 035
49.1252576,13.2328161,KT001
49.1394483,13.2149808,KT004
49.1651564,13.2002858,KT 005
49.1739626,13.1972288,KT 006
49.1812747,13.1868593,KT 007
49.2032861,13.2285107,KT 008
49.2184290,13.2549939,KT009
49.2036447,13.2468349,KT 011
49.1860146,13.2538828,KT 012
49.1839089,13.2726316,KT014
49.1651667,13.2784333,KT015
49.2300360,13.2647260,KT016
49.2577255,13.4059322,KT 019
49.2544397,13.3919039,020
49.2215228,13.3311041,KT 021
49.1964976,13.3504530,KT 022
49.1636975,13.5034501,KT 026
49.2484864,13.0928757,KT 038
49.8679220,13.4528014,PS024
49.8798092,12.9855789,TC001
49.8779983,12.9333597,TC025
49.6264214,12.8742033,TC030
49.8857730,12.5884070,TC 048
49.8478584,12.5972201,TC 051
50.0829738,14.6844449,AA001
50.0896346,14.6984119,AA002
50.8099066,14.1335126,DC013
50.8059955,14.0723813,DC015
50.7962365,14.0688434,DC 016
50.7821696,14.0683794,DC 017
50.9640702,14.4370477,DC037
50.8588425,14.5383363,DC046
50.8528189,14.5444054,DC047
50.8593662,14.6157733,DC053
50.4150329,13.0768113,CV006
50.4826921,13.1466451,CV022
50.5834082,13.3879193,CV065
50.6126396,13.3517560,CV067
50.5740471,13.2446791,38
50.0989930,13.3436490,LN013
50.1146033,13.4558339,LN016
50.1284366,13.4820019,LN017
50.2595179,13.8441708,
50.1261328,13.3125540,LN027
50.6028080,13.4030627,MO002
50.6595775,13.5239979,MO006
50.6767342,13.6085474,MO011
50.6893843,13.6258778,TP001
50.6852847,13.6405676,TP002
50.6704377,13.6801738,TP004
50.6549738,13.6744962,TP005
50.6993964,13.7171308,CZ 245
50.7130452,13.7339204,TP 012
50.7243045,13.7798583,TP 021
50.7279854,13.8032155,TP 022
50.7132634,13.8163927,TP023
49.1011907,17.1950984,KM009
49.0969160,17.2336333,KM010
49.0973555,17.2768777,UH005
49.0907028,17.3013023,UH007
49.3241399,17.6864339,ZL 001
49.3206580,17.7296821,ZL 005
49.2527507,15.3537753,JI 001
49.2218577,15.3402495,JI 002
49.1778472,15.5379556,JI 006
49.1176921,15.5888596,JI 007
49.2478743,15.7056743,JI 008
49.3282009,15.5171852,JI 013
49.4407536,15.7029220,JI 015
49.3261633,15.1940021,PE 003
49.2887880,15.0071281,PE 004
49.1173029,16.1460051,TR010
49.1463995,15.7367209,TR 015
49.0874410,16.0581113,TR018
49.4751419,16.3857700,ZR002
49.4092080,16.0630538,ZR 013
49.6763972,16.0504878,ZR 015
49.6598863,16.0334648,ZR016
49.6570691,16.0767688,ZR020
49.6170020,16.0721813,ZR021
49.6091218,16.1029230,ZR022
49.6255855,16.1464034,ZR 023
48.8837308,17.0008805,BO001
