lat,lon,ref
50.1015154,12.5789842,
50.0489210,13.2918135,
49.9654732,17.1274361,SU007
50.5022220,15.2358859,SM001
49.1236718,14.4298250,013
50.5740471,13.2446791,38
50.6993964,13.7171308,245
48.8837152,17.0008391,BO001
