lat,lon,ref
50.1284366,13.4820019,LN017
50.6595775,13.5239979,MO006
50.6767342,13.6085474,MO011
50.6012261,13.5914712,MO010
50.6028080,13.4030627,MO002
50.7130452,13.7339204,TP 012
50.6549738,13.6744962,TP005
50.6704377,13.6801738,TP004
50.6852847,13.6405676,TP002
50.6893843,13.6258778,TP001
50.7132634,13.8163927,TP023
50.7279854,13.8032155,TP 022
50.5563751,13.8846132,TP018
50.7243045,13.7798583,TP 021
49.1307619,17.2207460,KM 006
49.0969160,17.2336333,KM010
49.1011907,17.1950984,KM009
49.3415890,17.7468350,ZL004
49.3241399,17.6864339,ZL 001
49.0973555,17.2768777,UH005
49.3206580,17.7296821,ZL 005
49.0907028,17.3013023,UH007
49.2218577,15.3402495,JI 002
49.2527507,15.3537753,JI 001
49.3282009,15.5171852,JI 013
49.2478743,15.7056743,JI 008
49.2654883,15.6297307,JI 003
49.1778472,15.5379556,JI 006
49.1176921,15.5888596,JI 007
49.4407536,15.7029220,JI 015
49.3261633,15.1940021,PE 003
49.2887880,15.0071281,PE 004
49.0874410,16.0581113,TR018
49.1463995,15.7367209,TR 015
49.4751419,16.3857700,ZR002
49.1173029,16.1460051,TR010
49.6598863,16.0334648,ZR016
49.4092080,16.0630538,ZR 013
49.6570691,16.0767688,ZR020
49.6255855,16.1464034,ZR 023
49.6763972,16.0504878,ZR 015
49.6091218,16.1029230,ZR022
48.8837308,17.0008805,BO001
49.6170020,16.0721813,ZR021
48.9230000,17.0578000,HO 004
48.9681513,17.2203719,HO 012
50.4386163,15.2642975,JC015
50.1048473,16.3319540,RK003
50.4619549,15.5492027,JC010
50.4459069,15.5979496,JC011
50.2054335,16.5117035,RK006
50.0712339,16.3129427,RK016
50.1426282,16.5796432,RK014
48.9720734,16.7868158,BV003
48.9857292,16.1345389,ZN024
49.1070464,17.7823534,ZL008
49.2224746,16.3652898,BO020
49.2879651,16.8351399,VY008
50.2265483,13.5847069,LN004
50.0961796,14.0750135,KL002
50.1585865,14.1563471,KL007
50.1044787,15.7559995,PA008
49.2199145,16.4552368,BO036
49.2462037,16.4718701,BO037
48.8402504,16.4801918,BV005
49.1478717,16.3060871,BO032
48.7283997,16.8940600,BV017
48.7132164,16.9186982,BV018
48.6887791,16.9353569,BV019
48.6397284,16.9311924,BV021
48.6467752,16.9597951,BV022
48.6629816,16.9400524,BV020
49.0939403,16.9139028,VY001
50.0367085,16.5635698,UO030
50.0601820,16.5251496,UO028
48.9578370,15.1796600,JH040
50.2086488,14.2722078,KL003
50.2257355,13.6825346,RA025
50.2319330,13.6726724,LN023
49.9796224,17.2086979,BR058
49.9581241,17.2007111,BR077
49.9910521,17.1857082,BR056
50.0887398,17.0659779,SU016
50.1030323,17.0509216,SU012
50.1013605,17.0899758,SU022
48.8723138,17.6203543,HO027
49.4119624,13.0668495,DO017
49.0967615,17.0191596,VY012
49.5800095,18.6353157,FM046
50.9487644,14.3697628,DC041
51.0195948,14.3990758,DC063
50.7412211,13.9340400,UL010
49.0854365,16.9746694,VY011
49.7732037,17.2537929,OC012
49.1576730,17.2832968,UH002
49.1728378,17.2958647,KM002
49.1604048,17.3095934,UH012
49.4027701,16.4260767,BO016
49.1822503,13.4052365,KT023
49.1921152,17.3744051,KM003
49.1831700,17.3862754,KM004
50.0583533,16.8373113,SU071
49.9785038,16.8053140,SU077
49.7464138,17.3798823,OC022
50.0202147,16.8216920,SU073
50.3920619,12.5308681,SO 026
49.8635582,14.8026171,BN014
50.1607171,13.8271091,RA028
50.1530345,13.7796959,RA026
50.1188845,13.8326146,RA032
48.9784132,16.6446689,BV002
49.1502529,16.2749354,BO030
